,Labels,Message
2766,ham,picking various point
2767,spam,married local woman looking discreet action real match instantly phone text match msg cost p stop txt stop bcmsfwc n xx
2768,ham,wow v v impressed fun shopping
2769,ham,way ur home
2770,spam,burger king wan na play footy top stadium get burger king st sept go large super coca cola walk winner
2771,ham,problem talk later
2772,ham,ur si
2773,ham,still customer place
2774,spam,come take little time child afraid dark become teenager want stay night
2775,ham,dude u knw also telugu thts gud k gud nyt
2776,ham,confirm eating esplanade
2777,ham,send id password
2778,ham,kind took garage centre part exhaust need replacing part ordered n taking fixed tomo morning
2779,spam,ur chance win cash every wk txt action c www movietrivia tv custcare x p wk
2780,ham,well might come
2781,ham,long quit get like minute day
2782,ham,likely called mittelschmertz google dont paracetamol dont worry go
2783,ham,well right gon na get check today steam sale pee text want come get
2784,ham,arrived see couple day lt
2785,ham,k wat tht incident
2786,ham,yeah get unlimited
2787,ham,cthen thk shd b enuff still got conclusion n content pg n reference b da content pg n cover pg
2788,ham,forgot take year shower sorry phone dead yet
2789,ham,got wat buy tell u need come
2790,ham,big god bring success
2791,spam,u bin awarded play instant cash call claim every th player win min optout
2792,ham,r stayin extra week back next wed rugby weekend hi c u soon
2793,ham,well still bit left guy want tonight
2794,ham,campus library
2795,ham,affidavit say lt gt e twiggs st division g courtroom lt gt lt time gt double check text tomorrow
2796,ham,creep
2797,ham,tell friend plan valentine day lt url gt
2798,ham,get ten billion call text help god
2799,ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
2800,ham,told returned order
2801,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office
2802,ham,depends u going lor
2803,ham,smile right go world wonder smiling think crazy keep away grin
2804,spam,freemsg fav xmas tone reply real
2805,ham,lil fever fine
2806,ham,think still car
2807,ham,
2808,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
2809,ham,yes princess want catch big strong hand
2810,ham,oh yeah forgot u take shopping
2811,ham,mm asked call radio
2812,ham,thinkin someone good drug
2813,ham,say slowly god love amp need clean heart blood send ten special people amp u c miracle tomorrow pls pls
2814,ham,enjoy shower possessiveness poured u ur loved one bcoz world lie golden gift loved truly
2815,ham,alright sure let know leaving
2816,ham,lasting much hour might get lucky
2817,ham,genius brother pls send number skype
2818,spam,gr poly tone mob direct u rply poly title eg poly breathe title crazyin sleepingwith finest ymca getzed co uk pobox w wq p
2819,ham,thk em find wtc far weiyi goin e rest dunno yet r ur goin dinner den might b able join
2820,ham,forget owns private property good boy always passionate kiss
2821,spam,interflora late order interflora flower christmas call place order midnight tomorrow
2822,ham,oh god taken teeth paining
2823,spam,romcapspam everyone around responding well presence since warm outgoing bringing real breath sunshine
2824,ham,u ask darren go n pick u lor oso sian tmr haf meet lect
2825,ham,need buy lunch eat maggi mee
2826,spam,congratulation thanks good friend u xmas prize claim easy call p per minute bt national rate
2827,ham,ok lor
2828,ham,oh right ok make sure load work day got really nasty cough today dry n shot really help
2829,ham,wife knew time murder exactly
2830,spam,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p
2831,ham,howz person story
2832,ham,thanx sending home
2833,ham,normally hot mail com see
2834,spam,tkts euro cup final cash collect call b pobox ppm
2835,ham,u sick still go shopping
2836,ham,ya well fine bbd pooja full pimple even become quite black ur rite cold wearing sweatter
2837,ham,nice nice working
2838,ham,reach home call
2839,ham,trying find chinese food place around
2840,ham,easy mate guess quick drink bit ambitious
2841,ham,babe miiiiiiissssssssss need crave geeee sad without babe love
2842,ham,ok thanx
2843,ham,aathi dear
2844,ham,tunji queen wishing great day abiola
2845,ham,today iz yellow rose day u love frndship give misscall amp send ur frndz amp see many miss call u get u get missed u marry ur lover
2846,ham,class hour sorry
2847,ham,wat time u finish ur lect today
2848,spam,free message jamster get crazy frog sound poly text mad real text mad crazy sound gbp week c apply
2849,ham,sad story man last week b day wife nt wish parent forgot n kid went work even colleague wish entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife parent kidz friend n colleague screaming surprise waiting sofa naked
2850,spam,chance reality fantasy show call p per min ntt ltd po box croydon cr wb national rate call
2851,ham,fine good hear dear happy new year oh
2852,ham,going wipro interview today
2853,ham,tall princess
2854,ham,doubt could handle time per night case
2855,ham,haha hope hear receipt sound gd luck
2856,ham,gon na death gon na leave note say robs fault avenge
2857,ham,japanese proverb one u none u must indian version one let none leave finally kerala version one stop none make strike
2858,ham,today workin free oso gee thgt u workin ur fren shop
2859,ham,life face choice toss coin becoz settle question coin air u know heart hoping gudni
2860,ham,know god created gap finger one made come amp fill gap holding hand love
2861,ham,want kiss feel next
2862,ham,happy saying
2863,spam,adult content video shortly
2864,ham,ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot
2865,ham,saying explicitly told nora know someone probably gon na bother
2866,ham,say hi get as back south tampa preferably kegger
2867,ham,smith waste da wan na gayle
2868,ham,mum sent many many message since got want know actually getting enjoy rest day
2869,ham,aight tomorrow around lt gt
2870,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office understand
2871,spam,chance reality fantasy show call p per min ntt ltd po box croydon cr wb national rate call
2872,ham,actually first time went bed long spoke woke night
2873,ham,see
2874,ham,dont understand message
2875,ham,crucify c told earlier
2876,ham,idk keep saying since moved keep butting head freedom v responsibility tired much shit deal barely keeping together get added
2877,ham,fuck cedar key fuck come anyway tho
2878,ham,twenty past five said train durham already coz reserved seat
2879,spam,hey boy want hot xxx pic sent direct ur phone txt porn hr free p per day stop text stopbcm sf wc n xx
2880,ham,u still painting ur wall
2881,spam,last chance claim ur worth discount voucher today text shop savamob offer mobile c savamob pobox uz sub
2882,ham,printer cool mean groovy wine groovying
2883,ham,hi harish rent transfred ur acnt
2884,ham,anything lor coming
2885,ham,cbe really good nowadays lot shop showroom city shaping good
2886,ham,still attending da talk
2887,ham,probs hon u doinat mo
2888,ham,k take care
2889,ham,take phone callon friday assume year
2890,ham,battery low babe
2891,ham,shuhui bought ron present swatch watch
2892,ham,yeah quite bit left swing tomorrow get
2893,ham,babe said hour almost internet
2894,ham,k sure get noon see
2895,ham,k k yesterday cbe
2896,ham,went ganesh dress shop
2897,spam,pdate double min txts orange tariff latest motorola sonyericsson nokia bluetooth free call mobileupd call optout yhl
2898,ham,collecting ur laptop going configure da setting izzit
2899,ham,r home come within min
2900,ham,aight latest probably closer jay tyler two trip
2901,ham,come aftr lt decimal gt cleaning house
2902,spam,ur cash balance currently pound maximize ur cash send cash p msg cc po box tcr w
2903,ham,bill letter expecting one orange bill may still say orange
2904,ham,tell pa pain de
2905,ham,hi darlin hope nice night wish come cant wait see love fran p want dirty anal sex want man gang bang
2906,ham,ha know either clever simple thing pear day perfect christmas
2907,ham,helloooo wake sweet morning welcome enjoy day full joy gud mrng
2908,ham,alrite
2909,ham,must sit around wait summer day celebrate magical sight world dressed white oooooh let snow
2910,spam,urgent mobile number awarded prize guaranteed call land line claim valid hr
2911,ham,guy go see movie side
2912,ham,sorry meeting call later
2913,ham,tell thinking plus going stop run
2914,ham,kindly send one flat lt decimal gt today
2915,spam,sorry u unsubscribe yet mob offer package min term week pls resubmit request expiry reply themob help info
2916,ham,nothing lor bit bored dun u go home early sleep today
2917,ham,time tell friend around
2918,ham,yes fine love safe
2919,ham,thanks chikku gud nyt
2920,ham,xy ur car u picking
2921,ham,thanx time spent geva bin mint ur baby want u xxxx
2922,ham,yo way could pick something tonight
2923,ham,sent send
2924,ham,fine simply sitting
2925,ham,thts god gift bird human hav natural gift frm god
2926,ham,coming day class
2927,ham,im done studyn library
2928,ham,ok u enjoy ur show
2929,ham,anything
2930,ham,wuld without baby thought alone mite break wan na go crazy everyboy need lady xxxxxxxx
2931,ham,wat dear sleeping ah
2932,ham,hi test lt gt rd
2933,ham,student solved cat question xam lt gt lt gt lt gt tell answer u r brilliant thing got answr
2934,ham,yo know anyone lt gt otherwise able buy liquor guy flaked right get hold somebody loko night
2935,ham,yup n fren lor meeting fren
2936,ham,yeah got one lined u
2937,ham,stop wondering wow ever going stop tm ing tm whenever want mine laugh
2938,ham,lol yep yesterday already got fireplace another icon sitting
2939,ham,hey booked pilate yoga lesson already haha
2940,ham,ok happen behave like
2941,spam,new message please call
2942,ham,supervisor find one lor thk student havent ask yet tell u aft ask
2943,ham,hello news job making wait fifth week yeah im woozles weasel exeter still home
2944,ham,message responce happend
2945,spam,currently message awaiting collection collect message call
2946,ham,hey babe sorry get sooner gary come fix cause think know go far ptbo say cost lt gt buck know might cheaper find someone second hand machine right let know want babe
2947,ham,make fuck sake x
2948,ham,leave u always ignorant
2949,ham,nope b going sch fri quite early lor co mys si got paper da morn
2950,ham,bruce b down amp fletcher
2951,ham,said would woke
2952,ham,hey free call
2953,ham,tell who pls
2954,spam,urgent mobile awarded bonus caller prize final attempt contact u call
2955,ham,think might give miss teaching til twelve lecture two damn working thing
2956,ham,id check like bowl worth left
2957,ham,yes many sweet
2958,ham,would still cozy exhausted last night nobody went school work everything closed
2959,spam,u secret admirer reveal think u r special call opt reply reveal stop per msg recd cust care
2960,ham,buzzzz grin buzz as buzz chest buzz cock keep phone vibrator feel shake
2961,ham,sir send group mail check
2962,ham,da intro cover energy trend n pro n con brief description nuclear fusion n oso brief history iter n jet got abt n half page
2963,ham,none nowhere ikno doesdiscount shitinnit
2964,ham,dont know jabo abi
2965,spam,ever notice driving anyone going slower idiot everyone driving faster maniac
2966,ham,yet ya sapna aunty manege day hogidhe chinnu full weak swalpa black agidhane
2967,ham,good baby
2968,ham,neft transaction reference number lt gt r lt decimal gt credited beneficiary account lt gt lt time gt lt gt
2969,ham,mostly sport type lyk footbl crckt
2970,ham,head dey swell oh thanks making day
2971,ham,u make fb list
2972,ham,height confidence aeronautics professor wer calld amp wer askd sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt didnt move said made student wont even start datz confidence
2973,ham,sary need tim bollox hurt lot tol
2974,ham,happy new year princess
2975,ham,text carlos let know hang
2976,ham,worry easy ingredient
2977,ham,love u little pocy bell sorry love u
2978,ham,ok omw castor
2979,ham,yar lor keep raining non stop u wan go elsewhere
2980,spam,xmas offer latest motorola sonyericsson nokia free bluetooth dvd double min txt orange call mobileupd call optout qf
2981,ham,u mean u almost done done wif sleeping tot u going take nap yup send liao picking ard smth lor
2982,ham,wonder world th th ur style th ur smile th ur personality rd ur nature nd ur sm st ur lovely friendship good morning dear
2983,ham,tonight yeah
2984,ham,eat fo lunch senor
2985,ham,said right giggle saw u would possibly first person die nvq think much could
2986,ham,break time one come n get stuff fr
2987,spam,reply win weekly professional sport tiger wood play send stop end service
2988,ham,see see maybe reboot ym seen buzz
2989,ham,still grinder
2990,spam,polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friend p tone reply hl info
2991,ham,love decision feeling could decide love life would much simpler le magical
2992,spam,hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
2993,ham,k see k
2994,ham,list buyer
2995,ham,idea guess work hour supposed leave since usual nobody interest figuring shit last second
2996,ham,mm entirely sure understood text hey ho weekend
2997,ham,released vday shirt u put make bottom half naked instead white underwear
2998,ham,know watching film computer
2999,ham,b thursday
3000,ham,oh phone phoned disconnected
3001,ham,id onluy matter getting offcampus
3002,spam,message free welcome new improved sex dogging club unsubscribe service reply stop msg p
3003,ham,excellent see riley plan
3004,ham,see half hour
3005,spam,tkts euro cup final cash collect call b pobox ppm
3006,ham,ew one
3007,ham,also hi wesley
3008,ham,ah see lingo let know wot earth finished making
3009,spam,loan purpose homeowner tenant welcome previously refused still help call free text back help
3010,spam,update mths half price orange line rental min call mobileupd call optout j q
3011,ham,imagine life without see fast u searching worry l always disturb u goodnoon
3012,ham,hm good morning headache anyone
3013,ham,yeah probs last night obviously catching speak soon
3014,spam,free unlimited hardcore porn direct mobile txt porn get free access hr chrgd p per day txt stop exit msg free
3015,ham,might go sch yar e salon v boring
3016,ham,lt gt min stop somewhere first
3017,ham,lt gt fast approaching wish u happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day happy friendship mother father teacher childrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas lt gt good morning afternoon evening night rememberi first wishing u raj
3018,ham,one joy lifeis waking daywith thought somewheresomeone care enough tosend warm morning greeting
3019,ham,get second half message
3020,ham,wat time u wan meet later
3021,ham,thank much selflessness love plenty
3022,ham,film ill call later
3023,ham,dare change ring
3024,ham,bad girl lady
3025,ham,love ya try budget money better babe gary would freak knew
3026,ham,part initiate understand
3027,ham,finished lunch already u wake already
3028,ham,still game
3029,ham,got tallent wasting
3030,ham,record one night
3031,ham,also sir sent email log usc payment portal send another message explain thing back home great weekend
3032,ham,gon na let know co come bak holiday day coming get text number
3033,ham,jokin lar depends phone father get lor
3034,ham,aight lem know
3035,ham,get ready lt gt inch pleasure
3036,ham,raji pls favour pls convey birthday wish nimya pls today birthday
3037,ham,ok feel like john lennon
3038,ham,co darren say considering mah ask
3039,ham,bothering trust answer pls
3040,ham,wishing family merry x ma happy new year advance
3041,ham,one day crab running sea shore wave came n cleared footprint crab crab asked frnd r u clearing beautiful footprint wave replied fox following ur footprint catch thats cleared frndsship never let u dwn gud nyt
3042,ham,aight time want come
3043,ham,slaaaaave must summon time wish come anymore
3044,ham,bill thats bad
3045,ham,let know change next hr even appendix age range however impossible chill let know hr
3046,ham,hello yeah got bath need hair come done yeah
3047,ham,weather
3048,ham,ok much though h friday cant wait dunno wot hell im gon na another week become slob oh wait already done
3049,ham,die e toot fringe
3050,ham,lol know awesome phone could click delete right want
3051,ham,ok
3052,ham,awesome question cute answer someone asked boy ur life smiled amp answered fine gudnite
3053,ham,please leave topic sorry telling
3054,ham,pls send correct name da
3055,ham,happened yo date
3056,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkent p
3057,ham,webpage available
3058,ham,woke yeesh late fall asleep til lt gt
3059,spam,unsubscribed service get ton sexy babe hunk straight phone go http gotbabes co uk subscription
3060,ham,dear know lt gt th lt gt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team detail
3061,ham,k k tomorrow onwards started ah
3062,ham,u talking bout early morning almost noon
3063,ham,fine remember
3064,spam,hi babe jordan r u im home abroad lonely text back u wan na chat xxsp visionsms com text stop stopcost p
3065,ham,ok many buy
3066,ham,sound good keep posted
3067,spam,get brand new mobile phone agent mob plus load goody info text mat
3068,ham,ok april cant wait
3069,ham,boy best get yo as quick
3070,ham,ay wana meet sat wkg sat
3071,ham,wait till bus pick
3072,ham,apart one told yesterday
3073,ham,ok lor buy wat
3074,ham,somebody go andros steal ice
3075,ham,know msg recently
3076,ham,take u shopping mark distract isaiah
3077,ham,mum hope great day hoping text meet well full life great day abiola
3078,ham,sense foot penis
3079,ham,okay thought expert
3080,ham,deep sigh miss really surprised gone net cafe yet get miss
3081,ham,thinl role like sachin standing others hit
3082,ham,great trip india bring light everyone project everyone lucky see smile bye abiola
3083,ham,importantly discus u
3084,ham,k k training process
3085,ham,ok lor ned go toa payoh return smth u wan send wat
3086,ham,da car park
3087,ham,wish holding tightly making see important much mean much need life
3088,ham,asked anthony dad bf
3089,ham,wnevr wana fal luv vth book bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
3090,ham,today sunday sunday holiday work
3091,ham,going take bath ill place key window
3092,spam,lord ring return king store reply lotr june chance win lotr soundtrack cd stdtxtrate reply stop end txts
3093,ham,dear take care reaching home love u lot
3094,ham,staff science nu edu sg phyhcmk teaching pc
3095,ham,emigrated something ok maybe bit hopeful
3096,ham,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
3097,ham,walked mom right stagwood pas right winterstone left victor hill address lt gt
3098,ham,yo jp hungry like mofo
3099,ham,creepy crazy
3100,ham,ok din get ur msg
3101,ham,tessy pls favor pls convey birthday wish nimya pls dnt forget today birthday shijas
3102,ham,pathaya enketa maraikara pa
3103,ham,even friend priest call
3104,ham,u lousy run already come back half dead hee
3105,ham,said bad dat e gal know u wat u
3106,ham,remind hr
3107,ham,hoping would send message rent due dont enough reserve completely gone loan need hoping could balance lt gt way could get till mid march hope pay back
3108,ham,hi happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks
3109,ham,hello hun ru way im good date guy met walkabout far meet soon hows everyone else
3110,ham,lol gon na last month cashed left lt gt case collecting week cause announced blog
3111,spam,good luck draw take place th feb good luck removal send stop customer service
3112,ham,short cute good person dont try prove gud mrng
3113,ham,decided yet eh
3114,ham,wat time liao still got
3115,ham,yes watching footie worried going blow phil neville
3116,ham,wait inside da car park
3117,ham,uncle abbey happy new year abiola
3118,ham,free call pa
3119,ham,r u saying order slipper co pay returning
3120,ham,stop knowing well
3121,ham,good evening roger
3122,ham,small problem auction punj asking tiwary
3123,spam,free entry weekly comp chance win ipod txt pod get entry std txt rate c apply detail
3124,ham,telling tell one treat hi hi hi
3125,ham,uncle atlanta wish guy great semester
3126,spam,st wk free gr tone str u wk txt nokia classic nokia tone hit polys nokia p poly p
3127,ham,u coming pick
3128,ham,thats cool liked photo sexy
3129,ham,would u fuckin believe didnt know thurs pre booked cancelled need b sacked
3130,ham,haha better late ever way could swing
3131,ham,ok finish
3132,spam,lookatme thanks purchase video clip lookatme charged p think better send video mmsto
3133,ham,barred b q store life twat orange dungerees came asked wanted decking got first punch
3134,ham,message food
3135,ham,ok going sleep hope meet
3136,ham,wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
3137,ham,let know detail fri u find co tom fri mentionned chinese thanks
3138,ham,right think
3139,ham,wat r u
3140,ham,ur lecture
3141,spam,sexy sexy cum text im wet warm ready porn u fun msg free recd msg p inc vat cancel text stop
3142,ham,customer place call
3143,ham,planned yet going join company jan know happen
3144,ham,boy love u grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli mutai eerulli kodthini grl love u kano
3145,ham,haha heard text around
3146,ham,get tomorrow send
3147,ham,shit babe thasa bit messed yeh shudvetold u urgran know neway illspeak u moro wen im asleep
3148,ham,oh thats late well good night give u call tomorrow iam going go sleep night night
3149,ham,cheer u tex mecause u werebored yeah okden hunny r uin wk sat sound likeyour havin gr fun j keep updat countinlots loveme xxxxx
3150,ham,sorry meeting call later
3151,ham,yo howz u girl never rang india l
3152,ham,yeah worse
3153,spam,hard live chat p min choose girl connect live call cheap chat uk biggest live service vu bcm wc n xx
3154,ham,tagged friend seemed count friend
3155,spam,heard u call rude chat private line cum wan c pic gettin shagged text pix end send stop sam xxx
3156,ham,ok
3157,ham,long time remember today
3158,ham,havent shopping lor juz arrive
3159,ham,thank u better work cause feel used otherwise
3160,ham,challenge know
3161,ham,much ur hdd casing cost
3162,ham,mystery solved opened email sent another batch sweetie
3163,ham,describe lucky actually awake noon
3164,spam,nd time tried contact u u prize claim call b c stop sm ppm
3165,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
3166,ham,cheer card time year already
3167,spam,hot live fantasy call p per min ntt ltd po box croydon cr wb k
3168,ham,people see msg think iam addicted msging wrong bcoz know iam addicted sweet friend bslvyl
3169,ham,ugh hopefully asus ppl dont randomly reformat
3170,ham,seen facebook huh lol
3171,ham,mah b pick tomorrow
3172,ham,still otside le u come morrow maga
3173,ham,u still plumber tape wrench could borrow
3174,spam,dear voucher holder claim week offer pc please go http www e tlp co uk reward t c apply
3175,ham,vl bcum difficult
3176,spam,ur going bahamas callfreefone speak live operator claim either bahamas cruise cash opt txt x
3177,ham,havent still waitin usual come back sch oredi
3178,ham,meeting da call
3179,ham,k k watch film
3180,ham,cinema plus drink appeal tomo fr thriller director like mac
3181,ham,size elephant tablet u shove um ur as
3182,ham,many people seems special first sight remain special till last sight maintain till life end take cr da
3183,ham,parent kidz friend n colleague screaming surprise waiting sofa naked
3184,ham,dunno juz askin co got card got salon called hair sense tot da one cut ur hair
3185,ham,good morning pookie pie lol hope wake u
3186,ham,maybe woke fucking problem
3187,ham,happy birthday dear lot love rakhesh nri
3188,ham,howz person story
3189,spam,nd time tried contact u u pound prize claim easy call p per min bt national rate
3190,ham,x lt gt going get
3191,ham,hi neva worry bout da truth coz truth lead ur heart least unique person like u deserve sleep tight morning
3192,spam,ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub
3193,ham,ur paper today e morn aft
3194,ham,lick every drop ready use mouth well
3195,ham,expect whenever text hope go well tomo
3196,ham,great p diddy neighbor come toothpaste every morning
3197,ham,av new number wil u use one ta
3198,ham,poking man everyday teach canada abi saying hi
3199,ham,lor change suntec wat time u coming
3200,ham,de seeing online shop asked
3201,ham,curious cuz asked
3202,ham,nice nice working
3203,ham,okay lor wah like def wont let u go haha say term condition
3204,ham,haha yup hopefully lose kg mon hip hop go orchard weigh
3205,ham,good r u working
3206,ham,oh yes little weather kind coccooning home
3207,ham,home also
3208,ham,phone weirdest auto correct
3209,ham,oops phone died even know yeah like better
3210,ham,havent mu ask u st wat meet lunch den u n meet already lor u wan go ask da ge st confirm w asap
3211,ham,said u mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife
3212,ham,oh yeah hav great time newquay send postcard look girl im gone u know im talkin bout xx
3213,ham,got divorce lol
3214,ham,ur pin
3215,ham,babe got enough money pick bread milk give back get home
3216,ham,want snow freezing windy
3217,spam,urgent trying contact u today draw show prize guaranteed call land line claim valid hr
3218,ham,come mahal bus stop lt decimal gt
3219,ham,know week going tirunelvai da
3220,ham,baby promise treat well bet take good care
3221,ham,like hotel dusk game think solve puzzle area thing
3222,spam,thanks ringtone order reference number x mobile charged tone arrive please call customer service
3223,ham,hi love go day fuck morning woke dropped cell way stair seems alright phews miss
3224,ham,well must pain catch
3225,ham,sorry da thangam mistake
3226,ham,need coz never go
3227,ham,rose red red blood blood heart heart u u send ti ur friend including u like u get back u r poor relation u need support u r frnd many luvs u praying god marry u try
3228,ham,wife knew time murder exactly
3229,spam,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info
3230,spam,ur cash balance currently pound maximize ur cash send collect p msg cc po box tcr w
3231,ham,feel like dick keep sleeping text facebook message sup town
3232,ham,plm come da way
3233,ham,guess want alone time could show watch
3234,ham,height recycling read twice people spend time earning money money spent spending time good morning keep smiling
3235,ham,yup comin
3236,ham,yes princess toledo
3237,ham,aight text back mu swing need somebody get door
3238,ham,ron say fri leh n said ding tai feng cant make reservation said wait lor
3239,ham,good swimsuit allowed
3240,ham,okay soon best
3241,ham,cute thought friendship necessary share every secret ur close frnd watever u shared true
3242,ham,ok sent u da latest version da project
3243,ham,good morning dear great amp successful day
3244,ham,pls accept one day begging change number
3245,ham,squeeeeeze christmas hug u lik frndshp den hug back u get u r cute u r luvd u r lucky none people hate u
3246,ham,ok anybody asks abt u tel p
3247,ham,funny fact nobody teach volcano erupt tsunami arise hurricane sway aroundn teach hw choose wife natural disaster happens
3248,ham,gon na ring weekend wot
3249,ham,also track lighter find
3250,ham,sorry help
3251,ham,babe need advice
3252,ham,leave around four ok
3253,ham,come medical college pm forward da
3254,ham,k k good going
3255,ham,make lasagna vodka
3256,ham,hi kate u give ring asap xxx
3257,ham,people tour thought sofa thing sent curious sugar
3258,ham,told going got drunk
3259,ham,fucking chickened messaged would late woould buzz hear word
3260,spam,congratulation thanks good friend u xmas prize claim easy call p per minute bt national rate
3261,ham,always looking excuse city
3262,ham,yup still coffee wif frens fren drove give lift
3263,ham,shore takin bus
3264,ham,u gon na get deus ex
3265,ham,send email mind lt gt time per night
3266,spam,want new nokia colour phone deliveredtomorrow free minute mobile free text free camcorder reply call
3267,ham,tap spile seven pub gas st broad st canal ok
3268,ham,ok come n pick u engin
3269,ham,never wanted tell short edge late
3270,ham,raviyog peripheral bhayandar east
3271,ham,k actually guy meet sunoco howard right way
3272,spam,new voicemail please call
3273,ham,moon come color dream star make musical sm give warm peaceful sleep good night
3274,ham,finished eating got u plate leftover time
3275,ham,thanx lot
3276,ham,hurry home u big butt hang last caller u food done starving ask cooked
3277,ham,lol right diet everyday cheat anyway meant fatty
3278,ham,great day beautiful one
3279,ham,happened interview
3280,ham,solve case man found murdered lt decimal gt lt gt afternoon wife called police police questioned everyone wife sir sleeping murder took place cook cooking gardener picking vegetable house maid went post office child went play neighbour went marriage police arrested murderer immediately reply reason u r brilliant
3281,ham,badrith chennai surely pick u competition
3282,ham,tot group mate lucky havent reply wat time need leave
3283,ham,hey around got enough half ten owe
3284,ham,hey tmr maybe meet yck
3285,ham,alrite sam nic checkin ur number b
3286,ham,making easy pay back lt gt yr say pay back earlier get
3287,ham,worry sure get
3288,ham,gas station like block away house drive right since armenia end swann take howard
3289,spam,someone u know asked dating service contact cant guess call revealed pobox l hb p
3290,spam,camera awarded sipix digital camera call fromm landline delivery within day
3291,ham,tuition hm go one mind
3292,ham,smoking people use wylie smoke much justify ruining shit
3293,ham,dear good morning feeling dear
3294,ham,little med say take every hour pain back took another hope die
3295,ham,beautiful tomorrow never come come already today hunt beautiful tomorrow waste wonderful today goodmorning
3296,ham,dunno lei decide lor abt leona oops tot ben going n msg
3297,ham,hi moved pub would great c u u cud come
3298,spam,today voda number ending selected receive award hava match please call quoting claim code standard rate app
3299,spam,message free welcome new improved sex dogging club unsubscribe service reply stop msg p
3300,ham,honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack joke gm gn ge gn
3301,ham,ever easier
3302,spam,rct thnq adrian u text rgds vatian
3303,ham,stop calling everyone saying might cancer throat hurt talk answering everyones call get one call babysitting monday
3304,ham,tough
3305,ham,im gonnamissu much would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
3306,ham,ee msg na poortiyagi odalebeku hanumanji name hanuman bajarangabali maruti pavanaputra sankatmochan ramaduth mahaveer ee name lt gt janarige ivatte kalisidare next saturday olage ondu good news keluviri maretare inde dodda problum nalli siguviri idu matra lt gt true neglet
3307,ham,hi darlin finish u pick meet text back number luv kate xxx
3308,ham,set place heart mind mind easily forgets heart always remember wish happy valentine day
3309,ham,surprised still guess right lor
3310,ham,okie wan meet bishan co bishan driving today
3311,ham,oh ho first time u use type word
3312,ham,hi darlin work u get trouble ijust talked mum morning really good time last night im goin soon call u
3313,ham,know serving mean
3314,ham,huh hyde park mel ah opps got confused anyway tt e best choice den juz take
3315,ham,oh gei happend tron maybe ill dl
3316,spam,free message activate free text message replying message word free term condition visit www com
3317,ham,know girl always safe selfish know got pa thank good night
3318,ham,worry hope photo shoot went well spiffing fun workage
3319,ham,freezing craving ice fml
3320,ham,kay since already
3321,ham,eh sorry leh din c ur msg sad already lar watching tv u still office
3322,ham,yo im right yo work
3323,ham,ok darlin supose ok worry much film stuff mate babysit call xx
3324,ham,said u mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife
3325,ham,wake since checked stuff saw true available space pls call embassy send mail
3326,ham,nope juz work
3327,ham,huh fast dat mean u havent finished painting
3328,ham,number u live
3329,ham,put party day week study lightly think need draw custom checkboxes know hardcore
3330,ham,sac score big hundred set batsman
3331,ham,send yetty number pls
3332,ham,much cost approx per month
3333,ham,ok theory test going book think may coz thought wan na go jiayin isnt free
3334,spam,contacted dating service someone know find call land line pobox w tg p
3335,ham,fine give call know want question
3336,ham,sorry got late start way
3337,ham,u go back urself lor
3338,ham,gas station go
3339,ham,k u bored come home
3340,ham,babe love cover face kiss
3341,ham,like made throw smoking friend car one time awesome
3342,ham,still checked da
3343,ham,go walmart stay
3344,ham,forgotten might couple buck send tomorrow k love ya
3345,ham,oh great disturb talk
3346,ham,reverse cheating mathematics
3347,ham,u welcome caught u using broken english
3348,ham,problem baby good time talk called left message
3349,ham,sorry call later
3350,ham,oh brand
3351,ham,sorry cant take call right happens r waxsto wat want come ill get medical insurance able deliver basic care currently shopping right medical insurance give til friday morning thats see major person guide right insurance
3352,ham,time coming
